3top.aero.	3600	in	ns	ns2.bb-online.org.
3top.aero.	3600	in	ns	ns3.bb-online.info.
3top.aero.	3600	in	ns	ns4.bb-online.biz.
3ursavdlkk13smakrtgo5h22pt6bpfm4.aero.	3600	in	nsec3	1 1 0 73 5C87UF5VS9L0C726VBMMU70S80EL6AFP NS DS RRSIG
3ursavdlkk13smakrtgo5h22pt6bpfm4.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. wVWqrTVm/s4PdsygQIf/8fyrvVxH3ijeeGLxtTW8zwrSILhbQfbnpWg/FXTRDa3NTFlwX2GufYJaKa2k83RRPhuXg5vzArcghLmIKFLsd5IBRkYFhYMVdHhMqxv5A+7QtXtiOjByil9dn7BM+11JJWpz79gePcGM38/FTUaKStk=
40south.aero.	3600	in	ns	nelly.ns.cloudflare.com.
40south.aero.	3600	in	ns	newt.ns.cloudflare.com.
4air.aero.	3600	in	ns	ns-1217.awsdns-24.org.
4air.aero.	3600	in	ns	ns-137.awsdns-17.com.
4air.aero.	3600	in	ns	ns-1874.awsdns-42.co.uk.
4air.aero.	3600	in	ns	ns-565.awsdns-06.net.
4star.aero.	3600	in	ns	darwin.ns.cloudflare.com.
4star.aero.	3600	in	ns	kallie.ns.cloudflare.com.
4stripes.aero.	3600	in	ns	ns1.gfra1001.siteground.eu.
4stripes.aero.	3600	in	ns	ns2.gfra1001.siteground.eu.
4ventos.aero.	3600	in	ns	lara.ns.cloudflare.com.
4ventos.aero.	3600	in	ns	tom.ns.cloudflare.com.
50dash4.aero.	3600	in	ns	ns1.dotster.com.
50dash4.aero.	3600	in	ns	ns2.dotster.com.
51west.aero.	3600	in	ns	host1.dnstek.net.
51west.aero.	3600	in	ns	host2.dnstek.net.
5c87uf5vs9l0c726vbmmu70s80el6afp.aero.	3600	in	nsec3	1 1 0 73 5JJ97648JCS0OFSJ4E8R25E9NB7K4RAN NS DS RRSIG
5c87uf5vs9l0c726vbmmu70s80el6afp.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. KgrI3gTnncbodOXezQ3pobd19WfPyq0ai9PdVK2IzSoHtfykvtsUa7Qk6sSV7ExnjilkK4qNj7oa+2P77eLA05bFPANo2nPNzC5QqX3kk5RlB8uDVGNEpnlcrtz4b+dsn1B+IMe22lRYF670gDv84Hl1cS/SHHvB1bh1qOn3P7I=
5continents.aero.	3600	in	ns	ns03.domaincontrol.com.
5continents.aero.	3600	in	ns	ns04.domaincontrol.com.
5dsystems.aero.	3600	in	ns	ns4.wixdns.net.
5dsystems.aero.	3600	in	ns	ns5.wixdns.net.
5ive.aero.	3600	in	ns	ns1045.ui-dns.biz.
5ive.aero.	3600	in	ns	ns1045.ui-dns.com.
5ive.aero.	3600	in	ns	ns1045.ui-dns.de.
5ive.aero.	3600	in	ns	ns1045.ui-dns.org.
5jj97648jcs0ofsj4e8r25e9nb7k4ran.aero.	3600	in	nsec3	1 1 0 73 5O4136IJVEM2AH68P90IGACA0IBGQGLA NS DS RRSIG
5jj97648jcs0ofsj4e8r25e9nb7k4ran.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250811141704 20250721131704 54369 aero. gSRrYjljzQ1xEd7Wed1C9i/qe4fB+eNF/B0F+AX6Ozs0km//3xp1aljh6ey/CcG5KboGPLy4xL5ojW7x1rXOMiOIb+Ui6AkITjlnKzPBzPAoXFKUA7ahU4d/d/wJ+ooACS+4s98AjfgxXd9suBiI9Mc9ASr4R17YtC2mMnsZE8c=
5o4136ijvem2ah68p90igaca0ibgqgla.aero.	3600	in	nsec3	1 1 0 73 5OP9VD2NHFRONB401EVKQ50GNO8C3911 NS DS RRSIG
5o4136ijvem2ah68p90igaca0ibgqgla.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250811141704 20250721131704 54369 aero. ZU8+LK8G2aHRoQDFYYdHqjYW/KoMMWNuJ/L6o71zGQI8WS7HXGdDjUlEG5Uj35wzvX5VOOJHz3m6ytw+V9L6jhrIW1PJHGoeCiC/pJl1ylSDCjWlpNuSE+0FGbPkDU/6gTa5UG8t+Gu6sHI+wp4oSFK++prXOQaCXw/J+M2v3Ak=
5op9vd2nhfronb401evkq50gno8c3911.aero.	3600	in	nsec3	1 1 0 73 5P5KUNUVLK850BHU9PL7O1QO45ERFF43 NS DS RRSIG
5op9vd2nhfronb401evkq50gno8c3911.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250807154511 20250717144511 54369 aero. YaVZDNmF0aG2g0x81nAmOmnrtSMoL4gdqVPB5aVWKf5698MPb6/OIH5eyVsn2XX2N0Mth3RjHC6+/GXHqRbpclamWMlaWeAzAGqncFzpw4zufV2a1vAsh3PO/TxOOpsq5ygthJLRG7sM1oelBj0QpNJb56afYiI7tE1JG0zFtg8=
5p5kunuvlk850bhu9pl7o1qo45erff43.aero.	3600	in	nsec3	1 1 0 73 6D5S9QG5PSH2AQOVSFG4LMLDBRFDN0LN NS DS RRSIG
5p5kunuvlk850bhu9pl7o1qo45erff43.aero.	3600	in	rrsig	NSEC3 8 2 3600 20250811195453 20250721185453 54369 aero. Q/Vtq/i90e9dB5KAQSOa6x4V75LtHmLxSL2cxVErTPNsdkPRv4aJwHolp0g1yah1+fgie0HZ6yuSptKbnVLyGB0Wn3IwJ5KGoBAI3poYiEYtpGw70hIoRead+9CduZBkbQ+SDeATPFIC2vySwpkerr5Q0GZsBH05sk5xsrsIYqY=
64west.aero.	3600	in	ns	ns2.wixdns.net.
64west.aero.	3600	in	ns	ns3.wixdns.net.
