SLD,hostname
algo.schule.,ns-cloud-b1.googledomains.com.
algo.schule.,ns-cloud-b2.googledomains.com.
algo.schule.,ns-cloud-b3.googledomains.com.
algo.schule.,ns-cloud-b4.googledomains.com.
algofan.schule.,ns-cloud-c1.googledomains.com.
algofan.schule.,ns-cloud-c2.googledomains.com.
algofan.schule.,ns-cloud-c3.googledomains.com.
algofan.schule.,ns-cloud-c4.googledomains.com.
algorand.schule.,ns-cloud-c1.googledomains.com.
algorand.schule.,ns-cloud-c2.googledomains.com.
algorand.schule.,ns-cloud-c3.googledomains.com.
algorand.schule.,ns-cloud-c4.googledomains.com.
alha.schule.,ns1.iserv.eu.
alha.schule.,ns2.iserv.eu.
alha.schule.,ns3.iserv.eu.
alha.schule.,ns4.iserv.eu.
alice.schule.,ns1.iserv.eu.
alice.schule.,ns2.iserv.eu.
alice.schule.,ns3.iserv.eu.
alice.schule.,ns4.iserv.eu.
allegro.schule.,ns.inwx.de.
allegro.schule.,ns2.inwx.de.
allegro.schule.,ns3.inwx.eu.
aller-oker-schule.schule.,ns1.iserv.eu.
aller-oker-schule.schule.,ns2.iserv.eu.
aller-oker-schule.schule.,ns3.iserv.eu.
aller-oker-schule.schule.,ns4.iserv.eu.
alles.schule.,ns1.domaintechnik.at.
alles.schule.,ns2.domaintechnik.at.
alles.schule.,ns3.domaintechnik.at.
alles.schule.,ns4.domaintechnik.at.
allinklusive.schule.,ns5.kasserver.com.
allinklusive.schule.,ns6.kasserver.com.
alma-eutin.schule.,docks08.rzone.de.
alma-eutin.schule.,shades01.rzone.de.
aloisiuskolleg.schule.,docks04.rzone.de.
aloisiuskolleg.schule.,shades13.rzone.de.
alpakharz.schule.,ns.inwx.de.
alpakharz.schule.,ns2.inwx.de.
alpakharz.schule.,ns3.inwx.eu.
alpbach.schule.,ns1.domaintechnik.at.
alpbach.schule.,ns2.domaintechnik.at.
alpbach.schule.,ns3.domaintechnik.at.
alpbach.schule.,ns4.domaintechnik.at.
alpha.schule.,curitiba.ns.porkbun.com.
alpha.schule.,fortaleza.ns.porkbun.com.
alpha.schule.,maceio.ns.porkbun.com.
alpha.schule.,salvador.ns.porkbun.com.
alphabet.schule.,ns1.googledomains.com.
alphabet.schule.,ns2.googledomains.com.
alphabet.schule.,ns3.googledomains.com.
alphabet.schule.,ns4.googledomains.com.
alphorn.schule.,ns.udag.de.
alphorn.schule.,ns.udag.net.
