SLD,hostname
521.school.,dns10.hichina.com.
521.school.,dns9.hichina.com.
54.school.,dns1.yandex.net.
54.school.,dns2.yandex.net.
58.school.,grapdns1.myhostadmin.net.
58.school.,grapdns2.myhostadmin.net.
5a.school.,ns1.myhostadmin.net.
5a.school.,ns2.myhostadmin.net.
5code.school.,dns1.registrar-servers.com.
5code.school.,dns2.registrar-servers.com.
5d.school.,ns1.hover.com.
5d.school.,ns2.hover.com.
5elements.school.,dns.rebel.ca.
5elements.school.,dns2.rebel.ca.
5g.school.,ns1.afternic.com.
5g.school.,ns2.afternic.com.
5head.school.,hazel.ns.cloudflare.com.
5head.school.,kaiser.ns.cloudflare.com.
5minute.school.,dns1.registrar-servers.com.
5minute.school.,dns2.registrar-servers.com.
5singsing.school.,ns-1296.awsdns-34.org.
5singsing.school.,ns-1911.awsdns-46.co.uk.
5singsing.school.,ns-415.awsdns-51.com.
5singsing.school.,ns-753.awsdns-30.net.
5star.school.,dns01.muumuu-domain.com.
5star.school.,dns02.muumuu-domain.com.
5yearsaving.school.,ns.gabia.co.kr.
5yearsaving.school.,ns.gabia.net.
5yearsaving.school.,ns1.gabia.co.kr.
63319.school.,ns1.dyna-ns.net.
63319.school.,ns2.dyna-ns.net.
63320.school.,ns1.dyna-ns.net.
63320.school.,ns2.dyna-ns.net.
6502.school.,curitiba.ns.porkbun.com.
6502.school.,fortaleza.ns.porkbun.com.
6502.school.,maceio.ns.porkbun.com.
6502.school.,salvador.ns.porkbun.com.
666.school.,ns1-show.myhostadmin.net.
666.school.,ns2-show.myhostadmin.net.
6686.school.,cleo.ns.cloudflare.com.
6686.school.,kristina.ns.cloudflare.com.
678.school.,ns3.myhostadmin.net.
678.school.,ns4.myhostadmin.net.
68gamebai.school.,major.ns.cloudflare.com.
68gamebai.school.,sloan.ns.cloudflare.com.
69.school.,ns1-show.myhostadmin.net.
69.school.,ns2-show.myhostadmin.net.
69vn.school.,ns47.domaincontrol.com.
69vn.school.,ns48.domaincontrol.com.
6g.school.,ns1.myhostadmin.net.
6g.school.,ns2.myhostadmin.net.
6ixfigures.school.,ns27.domaincontrol.com.
6ixfigures.school.,ns28.domaincontrol.com.
6pack.school.,ns19.domaincontrol.com.
6pack.school.,ns20.domaincontrol.com.
6packads.school.,ns45.domaincontrol.com.
6packads.school.,ns46.domaincontrol.com.
7-days-driving.school.,ns3.kasserver.com.
7-days-driving.school.,ns4.kasserver.com.
7-days-driving.school.,ns5.kasserver.com.
7-days-driving.school.,ns6.kasserver.com.
7-shapes.school.,ns-101-a.gandi.net.
7-shapes.school.,ns-65-c.gandi.net.
7-shapes.school.,ns-88-b.gandi.net.
72.school.,a.ns.selectel.ru.
72.school.,b.ns.selectel.ru.
72.school.,c.ns.selectel.ru.
72.school.,d.ns.selectel.ru.
77.school.,dns13.hichina.com.
77.school.,dns14.hichina.com.
777.school.,ns01.domaincontrol.com.
777.school.,ns02.domaincontrol.com.
777g.school.,ns35.domaincontrol.com.
777g.school.,ns36.domaincontrol.com.
77bet.school.,elle.ns.cloudflare.com.
77bet.school.,kipp.ns.cloudflare.com.
77win.school.,leah.ns.cloudflare.com.
77win.school.,mitch.ns.cloudflare.com.
789bet.school.,ns49.domaincontrol.com.
789bet.school.,ns50.domaincontrol.com.
789club.school.,aragorn.ns.cloudflare.com.
789club.school.,bingo.ns.cloudflare.com.
789p.school.,dora.ns.cloudflare.com.
789p.school.,ricardo.ns.cloudflare.com.
789win.school.,macy.ns.cloudflare.com.
789win.school.,memphis.ns.cloudflare.com.
78win.school.,salvador.ns.cloudflare.com.
78win.school.,sneh.ns.cloudflare.com.
78wins.school.,ariadne.ns.cloudflare.com.
78wins.school.,dale.ns.cloudflare.com.
79king.school.,damiete.ns.cloudflare.com.
79king.school.,kimora.ns.cloudflare.com.
7da.school.,ns1.hostiman.ru.
7da.school.,ns2.hostiman.ru.
7da.school.,ns3.hostiman.com.
7da.school.,ns4.hostiman.com.
7eduglobal.school.,ns2.wixdns.net.
7eduglobal.school.,ns3.wixdns.net.
7ko.school.,ns1.hosting.reg.ru.
7ko.school.,ns2.hosting.reg.ru.
7m.school.,hassan.ns.cloudflare.com.
7m.school.,hattie.ns.cloudflare.com.
7oaks.school.,ns77.domaincontrol.com.
7oaks.school.,ns78.domaincontrol.com.
7winds.school.,ns1.hosting.reg.ru.
7winds.school.,ns2.hosting.reg.ru.
8-30.school.,ns1.reg.ru.
8-30.school.,ns2.reg.ru.
8020.school.,ns43.domaincontrol.com.
8020.school.,ns44.domaincontrol.com.
828.school.,dns1.registrar-servers.com.
828.school.,dns2.registrar-servers.com.
832law.school.,ns09.domaincontrol.com.
832law.school.,ns10.domaincontrol.com.
86755.school.,dns27.hichina.com.
86755.school.,dns28.hichina.com.
88.school.,ns1.afternic.com.
88.school.,ns2.afternic.com.
8848.school.,dns21.hichina.com.
8848.school.,dns22.hichina.com.
88796.school.,n1.xundns.com.
88796.school.,n2.xundns.com.
888.school.,dns1.idp365.net.
888.school.,dns2.idp365.net.
888.school.,dns3.idp365.net.
8888.school.,dns31.hichina.com.
8888.school.,dns32.hichina.com.
888b.school.,jack.ns.cloudflare.com.
888b.school.,mina.ns.cloudflare.com.
888poker.school.,dns1.idp365.net.
888poker.school.,dns2.idp365.net.
888poker.school.,dns3.idp365.net.
88b.school.,elly.ns.cloudflare.com.
88b.school.,jasper.ns.cloudflare.com.
88clb.school.,tia.ns.cloudflare.com.
88clb.school.,zac.ns.cloudflare.com.
8kbet.school.,laura.ns.cloudflare.com.
8kbet.school.,vicente.ns.cloudflare.com.
8s.school.,dimitris.ns.cloudflare.com.
8s.school.,fiona.ns.cloudflare.com.
8x8.school.,ns1.tildadns.com.
8x8.school.,ns2.tildadns.com.
8xbet.school.,ns59.domaincontrol.com.
8xbet.school.,ns60.domaincontrol.com.
91.school.,aria.ns.cloudflare.com.
91.school.,bob.ns.cloudflare.com.
911.school.,ns53.domaincontrol.com.
911.school.,ns54.domaincontrol.com.
91porn.school.,amber.ns.cloudflare.com.
91porn.school.,justin.ns.cloudflare.com.
93.school.,ns8415.hostgator.com.
93.school.,ns8416.hostgator.com.
98.school.,ns1-show.myhostadmin.net.
98.school.,ns2-show.myhostadmin.net.
985.school.,fred.ns.cloudflare.com.
985.school.,pam.ns.cloudflare.com.
98bet.school.,ns1.dyna-ns.net.
98bet.school.,ns2.dyna-ns.net.
98win.school.,ace.ns.cloudflare.com.
98win.school.,kate.ns.cloudflare.com.
99.school.,ns1.afternic.com.
99.school.,ns2.afternic.com.
99ok.school.,macy.ns.cloudflare.com.
99ok.school.,memphis.ns.cloudflare.com.
9bar.school.,damiete.ns.cloudflare.com.
9bar.school.,heather.ns.cloudflare.com.
9space.school.,ns41.domaincontrol.com.
9space.school.,ns42.domaincontrol.com.
9x.school.,ns1.reg.ru.
9x.school.,ns2.reg.ru.
a-1driving.school.,ns67.domaincontrol.com.
a-1driving.school.,ns68.domaincontrol.com.
a-digital.school.,cns1.alfahosting.info.
a-digital.school.,cns2.alfahosting.info.
a-digital.school.,cns3.alfahosting.info.
a-i.school.,ns1.atom.com.
a-i.school.,ns2.atom.com.
a-level-up.school.,launch1.spaceship.net.
